time="2023-09-30T16:17:49+07:00" level=info msg="postgres started" func="main.main()" file="main.go,29"
time="2023-09-30T16:17:54+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,35"
time="2023-09-30T16:18:41+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,44"
time="2023-09-30T16:20:52+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:20:52+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:20:52+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:21:02+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:21:02+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:21:05+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:21:13+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:21:13+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:21:20+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:22:18+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:22:18+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:22:29+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:22:29+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:23:01+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:23:01+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:23:06+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:24:38+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:24:38+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:24:38+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:24:45+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:24:45+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:24:45+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:34:02+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:34:02+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:35:14+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:35:14+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:37:09+07:00" level=info msg="postgres started" func="main.main()" file="main.go,32"
time="2023-09-30T16:37:09+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,38"
time="2023-09-30T16:37:18+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:46:13+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T16:46:13+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T16:46:15+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:50:18+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T16:50:18+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T16:50:20+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,47"
time="2023-09-30T16:51:18+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T16:51:18+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T16:51:18+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T16:51:20+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T16:51:29+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T16:51:29+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T16:51:29+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T16:51:29+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T16:53:36+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T16:53:36+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T16:53:36+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T16:53:36+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T17:03:02+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:03:02+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:03:02+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:03:02+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T17:06:39+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:06:39+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:06:39+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:06:39+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T17:09:05+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:09:05+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:09:05+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:09:05+07:00" level=info msg="service started" func="main.main.func1()" file="main.go,48"
time="2023-09-30T17:38:14+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:38:14+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:38:14+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:38:14+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,63"
time="2023-09-30T17:39:08+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:39:08+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:39:08+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:39:09+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,65"
time="2023-09-30T17:39:39+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:39:39+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:39:39+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:39:39+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,65"
time="2023-09-30T17:39:49+07:00" level=info msg=tick-tick func="main.main.func1()" file="main.go,53"
time="2023-09-30T17:39:59+07:00" level=info msg=tick-tick func="main.main.func1()" file="main.go,53"
